time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum
2024-08-16,32.6,20.5,26.5,64,8.1,21.01,0.0
2024-08-17,32.5,21.1,26.6,62,10.0,18.62,0.0
2024-08-18,27.2,21.3,23.7,78,11.9,13.49,2.6
2024-08-19,26.7,19.4,22.0,87,10.1,12.13,13.7
2024-08-20,29.5,19.4,23.9,79,11.9,20.43,0.6
2024-08-21,31.7,21.0,26.1,72,10.1,21.11,0.1
2024-08-22,30.3,21.6,26.0,70,16.3,20.41,0.5
2024-08-23,31.8,21.1,26.6,71,6.9,21.24,0.0
2024-08-24,33.1,21.3,27.2,65,7.1,21.41,0.0
2024-08-25,33.0,21.3,27.1,58,11.3,21.27,0.0
