time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum,es,ea,vpd,delta,giorno_anno,ra,rso,rns,rapporto_nuvolosita,rnl,rn,u2,et0,giorni_da_semina,kc,etc
2024-05-15,16.8,14.4,15.4,91,27.3,7.32,66.3,1.7769410668787815,1.6170163708596912,0.15992469601909032,0.11228982446075066,136,39.3390716967071,29.539708937057362,5.6364,0.24780203540926263,-0.0854105482322955,5.721810548232296,20.419064352084874,1.4662308627978478,20,0.3,0.4398692588393543
2024-05-16,19.7,12.7,15.6,88,32.1,11.19,17.9,1.8819194065011313,1.6560890777209956,0.22583032878013576,0.11355941992493146,137,39.48191777989464,29.646972060922884,8.616299999999999,0.37744158077948636,0.8773153715241152,7.738984628475884,24.009229512891007,2.050086230897817,21,0.3257142857142857,0.6677423723495747
2024-05-17,22.1,11.3,16.1,78,13.0,23.87,0.5,1.9996057472485744,1.559692482853888,0.43991326439468637,0.11678685949476648,138,39.620882785797185,29.751320883855108,18.379900000000003,0.8023173187229252,4.19948768157251,14.180412318427493,9.723363977183274,3.8684502752964725,22,0.3514285714285714,1.359483953889903
2024-05-18,22.7,11.5,17.2,75,9.8,24.77,0.0,2.0579237034897586,1.543442777617319,0.5144809258724397,0.12416225573867952,139,39.7559418990472,29.852736771994543,19.0729,0.8297396714138865,4.461146663453019,14.611753336546982,7.329920536645853,4.254668780231565,23,0.3771428571428571,1.6046179399730474
2024-05-19,23.6,13.0,18.6,77,7.6,24.23,1.0,2.2053969515484964,1.6981556526923423,0.5072412988561541,0.1341172196039836,140,39.88707123101918,29.9512017873723,18.6571,0.8089825634380917,4.145398285194808,14.511701714805191,5.684428171276375,4.205252120164778,24,0.4028571428571428,1.6941158541235248
2024-05-20,22.9,14.5,18.0,85,12.3,18.82,17.4,2.2218544608784003,1.8885762917466402,0.3332781691317601,0.1297710281553612,141,40.014247800344336,30.046698673278563,14.4914,0.6263583298998899,2.605647397629328,11.885752602370673,9.199798224565713,3.1121928538719006,25,0.42857142857142855,1.3337969373736716
2024-05-21,23.1,15.0,17.9,81,18.1,16.5,31.2,2.26591071662619,1.8353876804672138,0.430523036158976,0.1290583988387753,142,40.137449514724736,30.139210840606804,12.705,0.547459589677425,2.0932679971319237,10.611732002868077,13.53791446053979,3.5026193638885985,26,0.4542857142857143,1.5911899395951061
2024-05-22,21.2,13.4,17.2,82,12.5,19.36,5.1,2.0275681427251215,1.6626058770345995,0.36496226569052204,0.12416225573867952,143,40.2566551540815,30.2287223551998,14.9072,0.6404504885291583,2.8672307051086445,12.039969294891355,9.349388439599302,3.2634521699997063,27,0.48,1.5664570415998589
2024-05-23,19.4,12.2,15.9,88,13.8,18.09,10.3,1.8369996115414693,1.616559658156493,0.22043995338497635,0.11548666201805233,144,40.3718443550603,30.31521792621478,13.9293,0.5967300002272738,2.525211167556312,11.404088832443687,10.32172483731763,2.423786911557674,28,0.5057142857142857,1.2257436667020236
2024-05-24,21.3,12.3,16.2,86,9.1,20.93,1.4,1.9818781928280147,1.7044152458320927,0.277462946995922,0.11744160443265084,145,40.4829975969067,30.39868289551724,16.1161,0.6885166726446051,3.1623929318497144,12.953707068150285,6.806354784028291,2.9880437553588757,29,0.5314285714285714,1.5879318242764309
2024-05-25,20.1,13.1,16.6,81,8.3,19.74,0.6,1.9301958368761052,1.5634586278696454,0.3667372090064598,0.12009183587666868,146,40.590096188711954,30.479103228103806,15.1998,0.6476568504088525,2.99191046775565,12.20788953224435,6.207993923893937,3.263740493360431,30,0.5571428571428572,1.8183697034436688
2024-05-26,24.7,12.0,18.7,75,10.5,26.22,0.1,2.2570868920816043,1.6928151690612032,0.5642717230204011,0.13485343802414038,147,40.693122258019244,30.55646550354665,20.1894,0.8580835370817569,4.5308958200656715,15.658504179934328,7.853486289263413,4.668531031133315,31,0.5828571428571427,2.7210866581462745
2024-05-27,25.2,14.3,19.5,76,13.2,24.08,1.9,2.417853091882981,1.8375683498310655,0.5802847420519153,0.1408673891615032,148,40.79205874076922,30.630756908443608,18.5416,0.7861379355389732,3.864318311747181,14.677281688252819,9.872954192216861,4.678222928076002,32,0.6085714285714285,2.8470328105148237
2024-05-28,23.5,15.8,19.4,82,15.3,22.55,3.1,2.3453595272978536,1.9231948123842397,0.42216471491361385,0.1401034503070449,149,40.886889372552645,30.701965229849783,17.363500000000002,0.7344806702496006,3.3758951309026064,13.987604869097396,11.443651450069545,3.838922817075592,33,0.6342857142857142,2.434973901116518
2024-05-29,24.2,15.5,20.2,76,12.3,23.91,0.1,2.390474358188043,1.8167605122229127,0.5737138459651303,0.14631433363172242,150,40.97759868112828,30.770078849659225,18.410700000000002,0.7770535823721102,3.827272571278414,14.583427428721588,9.199798224565713,4.625446775876504,34,0.6599999999999999,3.052794872078492
2024-05-30,23.5,16.5,19.2,80,14.2,20.29,4.5,2.386353303502764,1.9090826428022112,0.4772706607005528,0.13858608974382908,151,41.06417198015362,30.835086739897353,15.6233,0.6580166344642344,2.859681931063858,12.763618068936143,10.620905267384806,3.949992143421744,35,0.6857142857142857,2.7085660412034818
2024-05-31,19.3,13.7,16.5,78,19.6,18.34,58.0,1.9033027469411268,1.4845761426140789,0.4187266043270479,0.11942456641907648,152,41.14659536406731,30.89697845887814,14.1218,0.5935855515583617,2.640749621898284,11.481050378101717,14.659841073291705,3.5320151425260757,36,0.7114285714285713,2.5127764871114078
